,sku,short_name,name,parent_sku,status,category,sub_category,is_family_head,is_individual,product_code,is_deleted
0,000000006304574010,,Raise Sneakers Standard Fit / Raise Sneakers Standard Fit 8.5,000000006304574011-main,Active,,,False,True,,False
1,000000006304574003,,Raise Sneakers Standard Fit / Raise Sneakers Standard Fit 9,000000006304574011-main,Active,,,False,True,,False
2,000000006304574012,,Raise Sneakers Standard Fit / Raise Sneakers Standard Fit 9.5,000000006304574011-main,Active,,,False,True,,False
3,Black-2,,Shirts Black,Black-2-main,Active,1.0,5.0,False,True,,False
4,000000006304574004,,Raise Sneakers Standard Fit / Raise Sneakers Standard Fit 10,000000006304574011-main,Active,,,False,True,,False
5,000000006304574014,,Raise Sneakers Standard Fit / Raise Sneakers Standard Fit 10.5,000000006304574011-main,Active,,,False,True,,False
6,000000006304574005,,Raise Sneakers Standard Fit / Raise Sneakers Standard Fit 11,000000006304574011-main,Active,,,False,True,,False
7,000000006304574006,,Raise Sneakers Standard Fit / Raise Sneakers Standard Fit 12,000000006304574011-main,Active,,,False,True,,False
8,000000006304574016,,Raise Sneakers Standard Fit / Raise Sneakers Standard Fit 12.5,000000006304574011-main,Active,,,False,True,,False
9,000000006304574015,,Raise Sneakers Standard Fit / Raise Sneakers Standard Fit 11.5,000000006304574011-main,Active,,,False,True,,False
10,000000006304574017,,Raise Sneakers Standard Fit / Raise Sneakers Standard Fit 13,000000006304574011-main,Active,,,False,True,,False
12,000000006304520001,,Bar Minibag One Size,000000006304520001-main,Active,,,False,True,,False
14,000000006304722001,,Pennant Minibag One Size,000000006304722001-main,Active,,,False,True,,False
16,000000006304707001,,Bar Crossbody Bag One Size,000000006304707001-main,Active,,,False,True,,False
18,000000006304710001,,Bar Tote Bag One Size,000000006304710001-main,Active,,,False,True,,False
21,000000006304517001,,Bar Tote Bag One Size,000000006304517001-main,Active,,,False,True,,False
22,000000006304580001,,Bar Tote Bag One Size,000000006304580001-main,Active,,,False,True,,False
24,000000006304711001,,Bar Tote Bag One Size,000000006304711001-main,Active,,,False,True,,False
26,000000006304739001,,Bar Bucket Bag One Size,000000006304739001-main,Active,,,False,True,,False
27,RED14001,,Test Lazada T Shirt Red US:14,2675157186-1677568199122-3-main,Active,,,False,True,,False
